"komentar","label"
"polisi harus tindak tegas oknum ormas","positif"
"polisi kalau tidak pakai sogokan makan dari mana?!","negatif"
"adi polisi kok jadi pelaku pemerasan juga!","negatif"
"brengsek! ini polisi kenapa lama sekali gerak","negatif"
"pecat saja! banyak orang baik yang mau jadi polisi tapi gagal","negatif"
"polisi sebenarnya fungsinya apa?!","netral"
"kami harap pak polisi segera menangkap pemilik akun ini","positif"
"saya kesal sekali sama polisi kalau tidak ada uang kasus tidak akan di urus","negatif"
"kasihan polisi yang bener-bener baik dan jujur","positif"
"sumpah ya polisi kenapa sih?!","netral"
"polisi tolol banget","negatif"
"yang benar saja pak polisi jangan sampai kepanjangan dari polisi menjadi perkumpulan orang licik seluruh indonesia","negatif"
"senangnya anak yatim kota kediri diajak polisi belanja baju lebaran di mall","negatif"
"aparat polisi bangsat!","negatif"
"kami bangga melihat polisi punya simpati pada begitu banyak orang","positif"
"polisi isinya oknum semua!","negatif"
"polisi harus tangkap dan tindak tegas pelaku penganiaya anak kecil","positif"
"polisi goblok!","negatif"
"sudah bukan rahasia umum lagi hilang motor lapor polisi pasti hilang mobil, biadab","negatif"
"polisi cepatlah bertindak masa harus viral dulu","negatif"
"lembaga negara yang paling tidak bisa di percaya adalah polisi","negatif"
"memang keren Polisi Indonesia","positif"
"hebat polisi bisa berpikir cepat","positif"
"cara polisi cari pelaku keren banget","positif"
"jaya terus polisi indonesia","positif"
"polisi pasti bisa menertibkan mobil para pengacau jalanan","positif"
"terima kasih banyak bapak polisi sudah melaksanakan pengamanan","positif"
"pecat saja oknum polisi begitu","negatif"
"kita terus berharap ada anggota polisi memiliki hati nurani","positif"
"gue sedih banget kinerja kepolisian","negatif"
"mantap pak polisi","positif"
"polisi bisa mengayomi dan membuat aman","positif"
"polisi memang ramah langsung minta maaf karena tidak bisa membantu","positif"
"antara marah kecewa tidak percaya semua jadi satu","negatif"
"benar-benar kecewa sama polisi","negatif"
"saya kecewa hari ini kepada polisi","negatif"
"saya sebagai rakyat kecewa dengan kinerja polisi","negatif"
"kecewa kinerja polisi lambat mengembangkan kasus","negatif"
"kami sebagai masyarakat kecewa sama kepolisian","negatif"
"terus terang kami kecewa terhadap polisi","negatif"
"saya sedih marah dan kecewa kepada siapa lagi rakyat mengadu pak","negatif"
"tolong dong pak dibuktikan kalau hoax dengan bukti-bukti yang valid biar rakyat bisa percaya","negatif"
"polisi membatalkan konser untuk ahmad dhani membuat ribuan peserta kecewa","negatif"
"semoga citra kalian semakin buruk!","negatif"
"kecewa saya sama penguasa dan polisi","negatif"
"saya berharap lebih di kasus ini jadi kecewa sama polisi","negatif"
"demi Allah saya sedih kecewa dan marah pada polisi","negatif"
"jangan buat kami kecewa dan sakit hati pada kamu pak polisi","negatif"
"aku kecewa banget sikap polisi","negatif"
"kecewa dengan polisi karena intel cuma datang bilang sabar","negatif"
"siti rusmini kecewa karena laporan kekerasan dalam rumah tangga mengendap di kantor polisi","negatif"
"segel mobil box pengiriman surat suara rusak bawaslu kecewa polisi tidak mengkawal pengiriman suaranya","negatif"
"pengalaman baru lagi mengurus tilang sejauh ini masih sangat kecewa dengan polisi","negatif"
"Kenapa polisi selalu membuat rakyat kecewa","negatif"
"ibu korban kecewa polisi hentikan kasus dugaan pencabulan anak","negatif"
"kecewa dengan penanganan polisi yang dinilai merugikan","negatif"
"kecewa polisi hentikan kasus kepala sekolah cabul","negatif"
"panitia kecewa karena polisi menghadang peserta luar kota yang akan bergabung","negatif"
"saya kecewa sekali kost saya kemalingan lapor ke kantor polisi tapi tidak ada yang mengangkat","negatif"
"penampilannya dihentikan polisi sheila on 7 kecewa terhadap toleransi aparat","negatif"
"kecewa aja liat polisi tidak ada tegasnya","negatif"
"sebenarnya cukup kecewa dengan keadaan jalan karena tidak ada polisi","negatif"
"kecewa dengan kinerja polisi","negatif"
"kecewa polisi malas mengungkap kejahatan","negatif"
"sedih polisi tangguhkan pelaku pengeroyokan tempat hiburan malam","negatif"
"masyarakat kecewa dengan polisi","negatif"
"orator aksi kecewa dihalau polisi","negatif"
"jangan terlalu berharap banyak dari polisi ujungnya kecewa","negatif"
"tak berharap banyak dari polisi nanti kecewa","negatif"
"keluarga tabrak lari kecewa laporan ke polisi tidak direspon","negatif"
"kecewa banget sama polisi","negatif"
"saya kecewa polisi menetapkan tersangka yang salah","negatif"
"saya termasuk orang yang kecewa dengan polisi","negatif"
"melihat sikap polisi beberapa waktu ini jadi kecewa","negatif"
"saya kecewa dan marah karena Polisi tidak melanjutkan kasus tersebut","negatif"
"pasti pak polisi bisa membantu bapak","positif"
"yang lebih buat saya kecewa adalah tindakan polisi","negatif"
"kecewa dengan pihak polisi kenapa jadi serumit ini","negatif"
"kecewa polisi belum tangkap pelaku","negatif"
"Pelaku Penyerangan Tak Kunjung Ditangkap rakyat Kecewa sama Polisi","negatif"
