"komentar","label","preprocessedKomentar"
"polisi harus tindak tegas oknum ormas","positif","polisi tindak tegas oknum ormas"
"polisi kalau tidak pakai sogokan makan dari mana?!","negatif","polisi kalau pakai sogok makan mana"
"adi polisi kok jadi pelaku pemerasan juga!","negatif","adi polisi kok jadi laku peras"
"brengsek! ini polisi kenapa lama sekali gerak","negatif","brengsek polisi lama kali gerak"
"pecat saja! banyak orang baik yang mau jadi polisi tapi gagal","negatif","pecat banyak orang baik mau jadi polisi gagal"
"polisi sebenarnya fungsinya apa?!","netral","polisi benar fungsi apa"
"kami harap pak polisi segera menangkap pemilik akun ini","positif","harap pak polisi segera tangkap milik akun"
"saya kesal sekali sama polisi kalau tidak ada uang kasus tidak akan di urus","negatif","kesal kali sama polisi kalau uang kasus urus"
"kasihan polisi yang bener-bener baik dan jujur","positif","kasihan polisi benar baik jujur"
"sumpah ya polisi kenapa sih?!","netral","sumpah polisi sih"
"polisi tolol banget","negatif","polisi tolol banget"
"yang benar saja pak polisi jangan sampai kepanjangan dari polisi menjadi perkumpulan orang licik seluruh indonesia","negatif","benar pak polisi jangan panjang polisi jadi kumpul orang licik seluruh indonesia"
"senangnya anak yatim kota kediri diajak polisi belanja baju lebaran di mall","negatif","senang anak yatim kota diri ajak polisi belanja baju lebaran mall"
"aparat polisi bangsat!","negatif","aparat polisi bangsat"
"kami bangga melihat polisi punya simpati pada begitu banyak orang","positif","bangga lihat polisi punya simpati banyak orang"
"polisi isinya oknum semua!","negatif","polisi isi oknum semua"
"polisi harus tangkap dan tindak tegas pelaku penganiaya anak kecil","positif","polisi tangkap tindak tegas laku aniaya anak kecil"
"polisi goblok!","negatif","polisi goblok"
"sudah bukan rahasia umum lagi hilang motor lapor polisi pasti hilang mobil, biadab","negatif","bukan rahasia umum hilang motor lapor polisi hilang mobil biadab"
"polisi cepatlah bertindak masa harus viral dulu","negatif","polisi cepat tindak masa viral dulu"
"lembaga negara yang paling tidak bisa di percaya adalah polisi","negatif","lembaga negara paling percaya polisi"
"memang keren Polisi Indonesia","positif","memang keren polisi indonesia"
"hebat polisi bisa berpikir cepat","positif","hebat polisi pikir cepat"
"cara polisi cari pelaku keren banget","positif","cara polisi cari laku keren banget"
"jaya terus polisi indonesia","positif","jaya terus polisi indonesia"
"polisi pasti bisa menertibkan mobil para pengacau jalanan","positif","polisi tertib mobil kacau jalan"
"terima kasih banyak bapak polisi sudah melaksanakan pengamanan","positif","terima kasih banyak bapak polisi laksana aman"
"pecat saja oknum polisi begitu","negatif","pecat oknum polisi"
"kita terus berharap ada anggota polisi memiliki hati nurani","positif","terus harap anggota polisi milik hati nurani"
"gue sedih banget kinerja kepolisian","negatif","gue sedih banget kinerja polisi"
"mantap pak polisi","positif","mantap pak polisi"
"polisi bisa mengayomi dan membuat aman","positif","polisi ayom buat aman"
"polisi memang ramah langsung minta maaf karena tidak bisa membantu","positif","polisi memang ramah langsung minta maaf bantu"
"antara marah kecewa tidak percaya semua jadi satu","negatif","marah kecewa percaya semua jadi satu"
"benar-benar kecewa sama polisi","negatif","benar kecewa sama polisi"
"saya kecewa hari ini kepada polisi","negatif","kecewa hari polisi"
"saya sebagai rakyat kecewa dengan kinerja polisi","negatif","rakyat kecewa kinerja polisi"
"kecewa kinerja polisi lambat mengembangkan kasus","negatif","kecewa kinerja polisi lambat kembang kasus"
"kami sebagai masyarakat kecewa sama kepolisian","negatif","masyarakat kecewa sama polisi"
"terus terang kami kecewa terhadap polisi","negatif","terus terang kecewa polisi"
"saya sedih marah dan kecewa kepada siapa lagi rakyat mengadu pak","negatif","sedih marah kecewa siapa rakyat adu pak"
"tolong dong pak dibuktikan kalau hoax dengan bukti-bukti yang valid biar rakyat bisa percaya","negatif","dong pak bukti kalau hoax bukti valid biar rakyat percaya"
"polisi membatalkan konser untuk ahmad dhani membuat ribuan peserta kecewa","negatif","polisi batal konser ahmad dhani buat ribu serta kecewa"
"semoga citra kalian semakin buruk!","negatif","moga citra kalian makin buruk"
"kecewa saya sama penguasa dan polisi","negatif","kecewa sama kuasa polisi"
"saya berharap lebih di kasus ini jadi kecewa sama polisi","negatif","harap lebih kasus jadi kecewa sama polisi"
"demi Allah saya sedih kecewa dan marah pada polisi","negatif","allah sedih kecewa marah polisi"
"jangan buat kami kecewa dan sakit hati pada kamu pak polisi","negatif","jangan buat kecewa sakit hati kamu pak polisi"
"aku kecewa banget sikap polisi","negatif","aku kecewa banget sikap polisi"
"kecewa dengan polisi karena intel cuma datang bilang sabar","negatif","kecewa polisi intel cuma datang bilang sabar"
"siti rusmini kecewa karena laporan kekerasan dalam rumah tangga mengendap di kantor polisi","negatif","siti rusmini kecewa lapor keras rumah tangga endap kantor polisi"
"segel mobil box pengiriman surat suara rusak bawaslu kecewa polisi tidak mengkawal pengiriman suaranya","negatif","segel mobil box kirim surat suara rusak bawaslu kecewa polisi kawal kirim suara"
"pengalaman baru lagi mengurus tilang sejauh ini masih sangat kecewa dengan polisi","negatif","alam baru urus tilang jauh sangat kecewa polisi"
"Kenapa polisi selalu membuat rakyat kecewa","negatif","polisi selalu buat rakyat kecewa"
"ibu korban kecewa polisi hentikan kasus dugaan pencabulan anak","negatif","ibu korban kecewa polisi henti kasus duga cabul anak"
"kecewa dengan penanganan polisi yang dinilai merugikan","negatif","kecewa tangan polisi nilai rugi"
"kecewa polisi hentikan kasus kepala sekolah cabul","negatif","kecewa polisi henti kasus kepala sekolah cabul"
"panitia kecewa karena polisi menghadang peserta luar kota yang akan bergabung","negatif","panitia kecewa polisi hadang serta luar kota gabung"
"saya kecewa sekali kost saya kemalingan lapor ke kantor polisi tapi tidak ada yang mengangkat","negatif","kecewa kali kost maling lapor kantor polisi angkat"
"penampilannya dihentikan polisi sheila on 7 kecewa terhadap toleransi aparat","negatif","tampil henti polisi sheila on kecewa toleransi aparat"
"kecewa aja liat polisi tidak ada tegasnya","negatif","kecewa aja liat polisi tegas"
