word,df,df_ratio,tf_avg,idf,tfidf_avg
polisi,1003,0.67,0.1092,1.4001,0.0732
lihat,208,0.1389,0.2086,2.9696,0.029
hukum,127,0.0848,0.2821,3.4599,0.0239
rakyat,119,0.0795,0.2905,3.5244,0.0231
percaya,99,0.0661,0.3332,3.7067,0.022
masyarakat,110,0.0735,0.2997,3.6024,0.022
kalau,120,0.0802,0.2721,3.5161,0.0218
adil,94,0.0628,0.3418,3.758,0.0215
takut,99,0.0661,0.3234,3.7067,0.0214
jadi,113,0.0755,0.2689,3.5757,0.0203
kasih,99,0.0661,0.304,3.7067,0.0201
kerja,101,0.0675,0.2904,3.6869,0.0196
terima,92,0.0615,0.3168,3.7793,0.0195
aman,98,0.0655,0.2885,3.7168,0.0189
tugas,105,0.0701,0.2628,3.6484,0.0184
jaga,98,0.0655,0.2717,3.7168,0.0178
lebih,100,0.0668,0.2631,3.6968,0.0176
baik,73,0.0488,0.3545,4.0078,0.0173
jalan,98,0.0655,0.2592,3.7168,0.017
bantu,99,0.0661,0.2534,3.7067,0.0168
lapor,85,0.0568,0.2866,3.8575,0.0163
rasa,82,0.0548,0.2977,3.893,0.0163
selalu,73,0.0488,0.3239,4.0078,0.0158
kasus,76,0.0508,0.307,3.9681,0.0156
pak,64,0.0428,0.3612,4.1375,0.0154
malah,79,0.0528,0.2834,3.9299,0.015
benar,68,0.0454,0.3272,4.0778,0.0149
jujur,59,0.0394,0.3776,4.2175,0.0149
kecewa,54,0.0361,0.3996,4.3046,0.0144
lalu,87,0.0581,0.2418,3.8345,0.0141
buat,69,0.0461,0.2996,4.0634,0.0138
makin,53,0.0354,0.3904,4.3229,0.0138
banyak,71,0.0474,0.2876,4.0352,0.0136
sama,61,0.0407,0.3134,4.1848,0.0128
kinerja,45,0.0301,0.3982,4.4832,0.012
bukan,60,0.0401,0.2985,4.201,0.012
tetap,55,0.0367,0.308,4.2865,0.0113
tegak,42,0.0281,0.3904,4.5507,0.011
lindung,43,0.0287,0.3839,4.5277,0.011
laku,49,0.0327,0.3373,4.3999,0.011
warga,61,0.0407,0.2676,4.1848,0.0109
sangat,59,0.0394,0.2719,4.2175,0.0107
cepat,52,0.0347,0.2994,4.3416,0.0104
tindak,44,0.0294,0.3488,4.5052,0.0103
terus,40,0.0267,0.3717,4.5983,0.0099
harap,35,0.0234,0.4175,4.7284,0.0098
bikin,42,0.0281,0.3429,4.5507,0.0096
